2027-04-18  18:00  Solent vs Slough  [Solent]  (WNIHL2Sa)
2027-04-24  16:25  Solent vs Oxford  [Solent]  (U16S2)
2027-04-25  16:25  Solent vs Oxford  [Solent]  (U14S2)
2027-04-25  17:30  Bristol vs Solent  [Bristol]  (U19S2)
2027-04-25  18:00  Solent vs Oxford  [Solent]  (WNIHL2Sa)
2027-05-01  16:25  Solent vs LeeValley  [Solent]  (U12S2)
2027-05-01  18:15  Chelmsford vs Solent  [Chelmsford]  (FWCS)
2027-05-02  14:45  Haringey vs Solent  [Haringey]  (U16S2)
2027-05-02  16:25  Solent vs Cambridge  [Solent]  (U14S2)
2027-05-02  18:00  Solent vs Oxford  [Solent]  (WNIHL2Sa)
2027-05-08  14:00  LeeValley vs Solent  [LeeValley]  (FWCS)
2027-05-08  16:25  Solent vs Bristol  [Solent]  (U19S2)
2027-05-08  16:45  Bristol vs Solent  [Bristol]  (U12S2)
2027-05-09  16:25  Solent vs Swindon  [Solent]  (U16S2)
2027-05-09  18:00  Solent vs Cardiff  [Solent]  (WNIHL2Sa)
2027-05-16  18:00  Solent vs Cardiff  [Solent]  (WNIHL2Sa)
