2027-04-18  17:00  Queenbees vs Guildford  [Slough]  (WElite)
2027-04-24  13:00  Firebees vs Cambridge  [Slough]  (WNIHL1S)
2027-04-24  17:30  Slough vs Romford  [Slough]  (U14S1)
2027-04-24  19:20  Slough vs Invicta  [Slough]  (WNIHL2Sa)
2027-04-25  15:15  Slough vs Romford  [Slough]  (U12S1)
2027-04-25  17:00  Slough vs Chelmsford  [Slough]  (U12S2)
2027-04-25  18:30  Slough vs Peterborough  [Slough]  (WNIHL2Sb)
2027-05-01  13:00  Slough vs Sheffield  [Slough]  (U19Nat)
2027-05-01  17:35  IceBees vs Chelmsford  [Slough]  (U16GS)
2027-05-01  19:15  Slough vs Cambridge  [Slough]  (WNIHL2Sb)
2027-05-02  16:00  Slough vs Streatham  [Slough]  (WNIHL2Sa)
2027-05-02  18:15  Firebees vs Swindon  [Slough]  (WNIHL1S)
2027-05-08  13:00  Queenbees vs Streatham  [Slough]  (WElite)
2027-05-08  17:30  Slough vs Cambridge  [Slough]  (U14S2)
2027-05-08  19:15  Slough vs Streatham  [Slough]  (U16S1)
2027-05-09  15:15  Slough vs Haringey  [Slough]  (U12S1)
2027-05-09  17:00  Slough vs LeeValley  [Slough]  (U12S2)
2027-05-09  18:35  Slough vs Oxford  [Slough]  (WNIHL2Sb)
2027-05-15  17:30  IceBees vs Swindon  [Slough]  (U16GS)
2027-05-15  19:15  Slough vs Invicta  [Slough]  (WNIHL2Sa)
2027-05-16  16:00  Queenbees vs Bristol  [Slough]  (WElite)
2027-05-16  18:15  Firebees vs Swindon  [Slough]  (WNIHL1S)
